title,make,model,year,condition,transmission,price
Toyota Sequoia 2013 Black,Toyota,Sequoia,2013,Foreign Used,Automatic,20000000.0
Toyota Sequoia Platinum 4x4 2018 Black,Toyota,Sequoia Platinum,2018,Foreign Used,Automatic,25000000.0
Toyota Highlander Limited 2010 Black,Toyota,Highlander Limited,2010,Foreign Used,Automatic,12000000.0
Lexus RX 350 AWD 2015 Black,Lexus,RX 350,2015,Foreign Used,Automatic,20000000.0
Acura MDX 2016 White,Acura,MDX,2016,Foreign Used,Automatic,15300000.0
Acura MDX 4dr SUV (3.5L 6cyl 6A) 2015 Black,Acura,MDX 4dr,2015,Foreign Used,Automatic,13000000.0
Acura ILX 2015 Gray,Acura,ILX,2015,Foreign Used,Automatic,10000000.0
Lexus ES 350 FWD 2015 Gold,Lexus,ES 350,2015,Foreign Used,Automatic,18000000.0
Acura MDX 2009 Brown,Acura,MDX,2009,Foreign Used,Automatic,8000000.0
Acura RDX 2015 Black,Acura,RDX,2015,Foreign Used,Automatic,13000000.0
Acura MDX 2014 Silver,Acura,MDX,2014,Foreign Used,Automatic,13200000.0
Toyota Sequoia Limited 4dr SUV (5.7L 8cyl 6A) 2012,Toyota,Sequoia Limited,2012,Foreign Used,Automatic,16000000.0
Acura MDX 2011 Black,Acura,MDX,2011,Foreign Used,Automatic,10200000.0
Mercedes-Benz GLK-Class 350 2011 White,Mercedes Benz,GLK-Class 350,2011,Foreign Used,Automatic,19000000.0
Toyota Sequoia SR5 4dr SUV 4WD (5.7L 8cyl 6A) 2015 Black,Toyota,Sequoia SR5,2015,Foreign Used,Automatic,23000000.0
Lexus ES 350 FWD 2015 White,Lexus,ES 350,2015,Foreign Used,Automatic,17000000.0
Toyota Highlander Limited 2010 Gold,Toyota,Highlander Limited,2010,Foreign Used,Automatic,12000000.0
Toyota Highlander Limited 2010 White,Toyota,Highlander Limited,2010,Foreign Used,Automatic,12200000.0
Toyota Highlander Limited 3.5L 2WD 2013 Blue,Toyota,Highlander Limited,2013,Foreign Used,Automatic,15100000.0
Acura MDX 2012 Gray,Acura,MDX,2012,Foreign Used,Automatic,9500000.0
Acura MDX 2012 Blue,Acura,MDX,2012,Foreign Used,Automatic,9500000.0
Acura MDX 2016 Brown,Acura,MDX,2016,Foreign Used,Automatic,15000000.0
Acura MDX 2015 Green,Acura,MDX,2015,Foreign Used,Automatic,13000000.0
