title,make,model,year,condition,transmission,price
Acura MDX 2016 Green,Acura,MDX,2016,foreign used,automatic,"₦ 16,000,000"
Toyota RAV4 2012 Gray,Toyota,RAV4,2012,local used,automatic,"₦ 8,900,000"
Honda Accord 2009 Silver,Honda,Accord,2009,local used,automatic,"₦ 6,700,000"
Honda CR-V 2013 Green,Honda,CR-V,2013,local used,automatic,"₦ 10,500,000"
BMW 328i 2013 White,BMW,328i,2013,foreign used,automatic,"₦ 15,500,000"
Mercedes-Benz G-Class G 63 AMG 4MATIC 2019 White,Mercedes-Benz,G-Class G,2019,foreign used,automatic,"₦ 315,000,000"
Toyota Highlander Limited 2012 Black,Toyota,Highlander Limited,2012,foreign used,automatic,"₦ 18,500,000"
Lexus ES 350 FWD 2013 Black,Lexus,ES 350,2013,foreign used,automatic,"₦ 17,050,000"
Mercedes-Benz GLA-Class 2018 Black,Mercedes-Benz,GLA-Class,2018,foreign used,automatic,"₦ 28,000,000"
Volkswagen Jetta 2013 White,Volkswagen,Jetta,2013,foreign used,automatic,"₦ 10,300,000"
Honda Accord 2010 Gray,Honda,Accord,2010,local used,automatic,"₦ 6,500,000"
Mercedes-Benz C230 2007 Silver,Mercedes-Benz,C230,2007,local used,automatic,"₦ 5,100,000"
Toyota Camry XSE FWD 2020 Red,Toyota,Camry XSE,2020,local used,automatic,"₦ 26,500,000"
Mercedes-Benz GLK-Class 2014 Silver,Mercedes-Benz,GLK-Class,2014,foreign used,automatic,"₦ 15,200,000"
Mercedes-Benz M Class 2013 Black,Mercedes-Benz,M Class,2013,foreign used,automatic,"₦ 19,500,000"
Lexus RX 350 FWD 2012 Red,Lexus,RX 350,2012,foreign used,automatic,"₦ 16,500,000"
Acura MDX 2016 White,Acura,MDX,2016,foreign used,automatic,"₦ 16,000,000"
Toyota Corolla 2010 Gold,Toyota,Corolla,2010,local used,automatic,"₦ 7,500,000"
Honda Accord 2008 Silver,Honda,Accord,2008,local used,automatic,"₦ 5,800,000"
Honda Accord Sport SE 4dr Sedan FWD (2.4L 4cyl 2A) 2017 Blue,Honda,Accord Sport,2017,foreign used,automatic,"₦ 13,500,000"
Honda Accord 2009 Maroon,Honda,Accord,2009,local used,automatic,"₦ 6,100,000"
Toyota Corolla 2018 Black,Toyota,Corolla,2018,foreign used,automatic,"₦ 16,500,000"
Honda CR-V 2012 Burgundy,Honda,CR-V,2012,local used,automatic,"₦ 9,800,000"
Honda Civic EX-T 2dr Coupe (1.5L 4cyl) 2016 Black,Honda,Civic EX-T,2016,foreign used,automatic,"₦ 16,000,000"
Mercedes-Benz E350 2007 Silver,Mercedes-Benz,E350,2007,local used,automatic,"₦ 5,200,000"
